Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,
"",0001 CHARGES GENERALES,,,,,
"",PRODUITS ENTRETIEN,,,,,
10/03/2011,Fournitures sacs containers 1 Trim 11,,"102,86","102,86",,"16,86"
"",Four:S.A.R.L. T.P.V.S.,,,,,
10/06/2011,Fournitures sacs containers 2 Trim 11,,"102,86","102,86",,"16,86"
"",Four:S.A.R.L. T.P.V.S.,,,,,
10/09/2011,Fournitures sacs containers 3 Trim 11,,"101,66","101,66",,"16,66"
"",Four:S.A.R.L. T.P.V.S.,,,,,
10/12/2011,Fournitures sacs containers 4 Trim 11,,"101,66","101,66",,"16,66"
"",Four:S.A.R.L. T.P.V.S.,,,,,
"",Total compte 60410000 PRODUITS ENTRETIEN,,"409,04","409,04",,"67,04"
"",,,,,,
"",EAU FROIDE,,,,,
03/02/2011,Facture du 03/02/2011 501M3,,"1501,08","1501,08",,"78,24"
"",Four:  EAU DE PARIS,,,,,
05/05/2011,Facture du 05/05/2011 490m3,,"1487,46","1487,46",,"77,55"
"",Four:  EAU DE PARIS,,,,,
02/08/2011,Facture du 02/08/2011 467m3,,"1405,59","1405,59",,"73,28"
"",Four:  EAU DE PARIS,,,,,
31/10/2011,Facture du 31/10/2011 469m3,,"1382,77","1382,77",,"72,10"
"",Four:  EAU DE PARIS,,,,,
"",Total compte 60610001 EAU FROIDE,,"5776,90","5776,90",,"301,17"
"",,,,,,
"",E.D.F. SERV.GX Cpteur 069,,,,,
20/04/2011,Facture du 20/04/2011,,"342,16","342,16",,"48,15"
"",Four:  E.D.F Entreprises,,,,,
28/04/2011,Facture du 09/03/2011,,"336,67","336,67",,"48,98"
24/06/2011,Facture du 24/06/2011,,"185,10","185,10",,"16,56"
"",Four:  E.D.F Entreprises,,,,,
23/08/2011,Facture du 23/08/2011,,"226,33","226,33",,"25,18"
"",Four:  E.D.F Entreprises,,,,,
21/10/2011,Facture du 21/10/2011,,"227,12","227,12",,"32,68"
"",Four:  E.D.F Entreprises,,,,,
23/12/2011,Facture du 23/12/2011,,"423,93","423,93",,"57,56"
"",Four:Entreprise EDF,,,,,
"",Total compte 60610002 E.D.F. SERV.GX Cpteur 069,,"1741,31","1741,31",,"229,11"
"",,,,,,
